user_id,first_name,last_name,username,github_username,email,password,product_team_id,role_id
<<<<<<< HEAD
1,Charlene,Mehserle,cmehserle,cmehserle,cmehserle@company.com,xoeEabN3,prodt-4,role-1
2,John,Chappell,jchappell,jchappell,jchappell@company.com,skWBQKRo,prodt-2,role-3
3,Many,Swan,mswan,mswan,mswan@company.com,zBBBE8JR,prodt-1,role-1
4,Lydia,Frederick,lfrederick,lfrederick,lfrederick@company.com,ubvD0iL2,prodt-6,role-3
5,Margarita,Montes,mmontes,mmontes,mmontes@company.com,4Kp53V8N,prodt-2,role-3
6,Gabriel,Washington,gwashington,gwashington,gwashington@company.com,9AAzYQnN,prodt-3,role-3
7,Lacey,Stotts,lstotts,lstotts,lstotts@company.com,aRIiET4a,prodt-3,role-1
8,Rodolfo,Butler,rbutler,rbutler,rbutler@company.com,Daz9D5c4,prodt-4,role-3
9,George,Gutierrez,ggutierrez,ggutierrez,ggutierrez@company.com,mziFu0jC,prodt-4,role-3
10,Melissa,Summerlin,msummerlin,pchandolu,msummerlin@company.com,UH22ptI6,prodt-2,role-2
11,Teresa,White,twhite,prashanthatequinix,twhite@company.com,Sp3vuTos,prodt-2,role-2
12,Clara,Kort,ckort,ckort,ckort@company.com,IgB7ClR4,prodt-1,role-3
13,Young,Mccloskey,ymccloskey,ymccloskey,ymccloskey@company.com,uyPJ9J2g,prodt-2,role-3
14,Gale,Hughes,ghughes,fniroomand,ghughes@company.com,V7GWAsCM,prodt-2,role-2
15,Laurie,Cowart,lcowart,lcowart,lcowart@company.com,HPPrkbGu,prodt-3,role-1
16,Michael,Melvin,mmelvin,hpasupuleti18,mmelvin@company.com,0MNcko3f,prodt-2,role-2
17,Allen,Scott,ascott,ascott,ascott@company.com,NSlftWUI,prodt-3,role-1
18,Lizzie,Mills,lmills,sprathipati7,lmills@company.com,uP4bBcvM,prodt-2,role-2
19,Lauren,Landreth,llandreth,llandreth,llandreth@company.com,P3K8Jt9E,prodt-5,role-1
20,John,Martin,jmartin,jmartin,jmartin@company.com,ByYSS25T,prodt-5,role-1
21,Michelle,Lipscomb,mlipscomb,mlipscomb,mlipscomb@company.com,2hNOaWiH,prodt-2,role-1
22,Charles,Kenney,ckenney,ckenney,ckenney@company.com,pH3DUk60,prodt-2,role-1
23,Betty,Smathers,bsmathers,jiacchen,bsmathers@company.com,t3NlAZOe,prodt-2,role-2
24,Todd,Coppock,tcoppock,jharia-equinix,tcoppock@company.com,jXEdbnpi,prodt-2,role-2
